title,Predicted_result,rotten_rate,predicted_income
Avengers: Endgame,2,Top Hit,3166.2872997041063
The Lion King,0,Flop,13.882597953332489
Once Upon a Time ... in Hollywood,2,Top Hit,2798.2411305357186
It Chapter Two,0,Flop,0.06801933563030259
Spider-Man: Far From Home,0,Flop,26.84172036616697
Star Wars: The Rise of Skywalker,0,Flop,22.699321938686296
A Beautiful Day in the Neighborhood,0,Flop,0.065701196453068
Captain Marvel,0,Flop,1099.1640504644224
Aladdin,2,Top Hit,542.025747519867
Us,2,Top Hit,253.36085416405288
Toy Story 4,0,Flop,19.9023496742462
Honey Boy,0,Flop,0.0416160922330631
Terminator: Dark Fate,0,Flop,18.907701592455066
John Wick: Chapter 3 - Parabellum,2,Top Hit,838.417351377211
Hellboy,0,Flop,233.38477849809834
Joker,0,Flop,22.895716737069396
Good Boys (II),0,Flop,246.2663783929845
Frozen II,0,Flop,1514.5383793510632
Dumbo,0,Flop,1289.9787794397437
Shazam!,2,Top Hit,745.2935674708733
