title,rotten_rate,predicted_income,,Actual,
Avengers: Infinity War,Top Hit,2083.51111,2048359754,2048.359754,-1.6871%
Black Panther,Top Hit,1388.754399,1346913161,1346.913161,-3.0129%
Deadpool 2,Top Hit,799.8622858,785046920,785.04692,-1.8522%
Jurassic World: Fallen Kingdom,Flop,1333.55215,1309484461,1309.484461,-1.8048%
The Meg,Flop,539.9290482,530243742,530.243742,-1.7938%
Venom,Flop,872.9977106,855013954,855.013954,-2.0600%
Mission: Impossible - Fallout,Top Hit,805.4004129,791115104,791.115104,-1.7737%
Ready Player One,Top Hit,604.025425,582890172,582.890172,-3.4991%
Incredibles 2,Top Hit,1266.310228,1242805359,1242.805359,-1.8562%
Bohemian Rhapsody,Neutral,921.2872834,903175016,903.175016,-1.9660%
Ant-Man and the Wasp,Top Hit,634.0314847,622674139,622.674139,-1.7913%
Solo: A Star Wars Story,Neutral,400.7629943,392924807,392.924807,-1.9558%
A Quiet Place,Top Hit,350.7999488,340939361,340.939361,-2.8109%
The Predator,Flop,164.7839902,160542134,160.542134,-2.5742%
Fantastic Beasts: The Crimes of Grindelwald,Flop,663.9716047,653655901,653.655901,-1.5536%
A STAR IS BORN,Top Hit,453.2928006,434188866,434.188866,-4.2145%
The Nun,Flop,372.3420725,365550119,365.550119,-1.8241%
Halloween,Top Hit,260.5974819,254285709,254.285709,-2.4220%
Ocean's Eight,Neutral,306.1963273,297718711,297.718711,-2.7687%
Mamma Mia! Here We Go Again,Top Hit,408.8900492,394745881,394.745881,-3.4592%
Annihilation,Top Hit,207.5794553,202732301,202.732301,-2.3351%
Tomb Raider,Flop,280.7024363,274650803,274.650803,-2.1559%
Red Sparrow,Flop,155.0833785,151572634,151.572634,-2.2638%
Crazy Rich Asians,Top Hit,244.0228631,238532921,238.532921,-2.2498%
Hereditary,Top Hit,105.895793,79336821,79.336821,-25.0803%
Aquaman,Neutral,1178.177371,1147761807,1147.761807,-2.5816%
A Simple Favor,Top Hit,102.5469333,97643703,97.643703,-4.7814%
Rampage,Flop,434.2378612,428028233,428.028233,-1.4300%
Pacific Rim: Uprising,Top Hit,300.7266919,290930148,290.930148,-3.2576%
The Equalizer 2,Flop,198.1877858,190400157,190.400157,-3.9294%
Sicario: Day of the Soldado,Neutral,72.08355067,75836683,75.836683,5.2066%
Game Night,Top Hit,124.3417828,117679066,117.679066,-5.3584%
Call Me by Your movie_title,Top Hit,59.83305132,41887595,41.887595,-29.9925%
Fifty Shades Freed,Flop,379.0845287,371909449,371.909449,-1.8927%
Christopher Robin,Neutral,205.1334218,197744377,197.744377,-3.6021%
12 Strong,Flop,69.31737527,67450815,67.450815,-2.6928%
First Man,Top Hit,106.5977706,105672146,105.672146,-0.8683%
BlacKkKlansman,Top Hit,88.20174246,92596573,92.596573,4.9827%
Skyscraper,Flop,314.7163017,304868961,304.868961,-3.1290%
Tag,Flop,80.50838348,78130625,78.130625,-2.9534%
