genre_fq,sequel_movie,director_follower_count_on_twitter,actor_follower_count_on_twitter,actress_follower_count_on_twitter,official_trailer_view_count_on_youtube,official_trailer_comment_count_on_youtube,official_trailer_like_count_on_youtube,official_trailer_dislike_count_on_youtube,movie_rating_on_imdb,sentiment_analysis,title,movie_rating_on_rotten_tomatoes,rotten_translate,gross_income
0.55,10,0.09294791619371359,0.3178864685044503,0.0,0.22474763125101618,0.3599324843561313,0.9764948046581703,0.023505195341829762,8.5,1,Avengers: Infinity War,2,Top Hit,2048.359754
0.55,1,0.0,0.02137288107654016,0.010722972111524124,0.030569211211790234,0.02993028872543638,0.9628703485008375,0.037129651499162496,7.3,1,Black Panther,2,Top Hit,1346.913161
0.55,10,0.0007969170169731973,0.12208030003942584,0.0,0.05519470712164335,0.03357448677132506,0.9786206822669862,0.021379317733013853,7.8,1,Deadpool 2,2,Top Hit,785.04692
0.55,10,0.0,0.061499587026882414,0.0009133328164233976,0.06317184362793252,0.05169228235810737,0.950571395490515,0.049428604509485025,6.2,0,Jurassic World: Fallen Kingdom,0,Flop,1309.484461
0.55,1,0.0,0.0027028806767526235,0.0,0.029959050397551423,0.014385223405423208,0.9549509128395773,0.04504908716042261,5.7,-1,The Meg,0,Flop,530.243742
0.55,1,0.001438348477826389,0.0,0.0,0.10132888587975561,0.1232133055220112,0.9633868896904523,0.03661311030954776,6.7,0,Venom,0,Flop,855.013954
0.55,10,0.007774384889716622,0.056982022324473594,0.0,0.04169316556431294,0.020902404215610935,0.9704894587690136,0.029510541230986353,7.8,0,Mission: Impossible - Fallout,2,Top Hit,791.115104
0.55,1,0.0,0.0,0.0,0.020747694604456426,0.02490723460313975,0.948367141418501,0.05163285858149907,7.5,0,Ready Player One,2,Top Hit,582.890172
0.05,10,0.015025987076280443,3.162472707094034e-05,0.0,0.03841304664023279,0.015713579975848064,0.9549797581987318,0.04502024180126815,7.7,1,Incredibles 2,2,Top Hit,1242.805359
0.075,1,0.02511316607142398,0.005844898937552136,2.9178973451351846e-05,0.023222723186839333,0.010154243056317928,0.9822942136624954,0.01770578633750467,8.1,0,Bohemian Rhapsody,1,Neutral,903.175016
0.55,10,0.004868454079504091,0.0038944921248831536,0.0,0.0321755286421614,0.03168404874300143,0.9776591374814253,0.022340862518574717,7.1,0,Ant-Man and the Wasp,2,Top Hit,622.674139
0.55,10,0.2730246052680048,0.021298616364793774,0.005038231661543502,0.012838856139283376,0.017617191788341202,0.8868730920191888,0.11312690798081117,7.0,1,Solo: A Star Wars Story,1,Neutral,392.924807
0.125,1,0.22170419879535103,0.01783095470658704,0.00029888995138668074,0.014879267360354352,0.005659787023822593,0.9663313143314693,0.03366868566853069,7.6,0,A Quiet Place,2,Top Hit,340.939361
0.55,10,0.0033479723912479193,0.0065849623354840275,0.0,0.014120395738012912,0.01459655285980898,0.903629800298931,0.09637019970106891,5.4,0,The Predator,0,Flop,160.542134
0.05,10,0.003938217835692459,0.0005868402172894346,0.0,0.019120039228311705,0.014314414315512131,0.9810646493711421,0.018935350628857844,6.7,-1,Fantastic Beasts: The Crimes of Grindelwald,0,Flop,653.655901
0.125,1,0.0,0.011120509725835148,0.34772200682687177,0.0208250985856586,0.010787682511801514,0.9725144544851793,0.027485545514820773,7.8,1,A STAR IS BORN,2,Top Hit,434.188866
0.05,1,0.0009215624627884086,0.0003200108888275954,0.0030365540827807652,0.028108726722917966,0.014153584367109453,0.9587360766611718,0.0412639233388282,5.4,0,The Nun,0,Flop,365.550119
0.05,1,0.0,0.0,0.0025768128297152157,0.02183076813076617,0.02915413327478318,0.9629248719645614,0.03707512803543854,6.7,-1,Halloween,2,Top Hit,254.285709
0.55,1,0.00033506494841563215,0.0,0.05255512445243335,0.023268358299486157,0.027436052256010538,0.6725961204326563,0.32740387956734374,6.2,0,Ocean's Eight,1,Neutral,297.718711
0.1,1,0.0,0.0,0.01857102839001822,0.011934371850674775,0.0033307717641892633,0.9229628816165166,0.07703711838348341,6.8,1,Mamma Mia! Here We Go Again,2,Top Hit,394.745881
0.05,1,0.0002125611769271428,0.0040284149206220215,0.0024480451356630835,0.012683317272304505,0.006976616533099133,0.9207836669415499,0.07921633305845016,6.9,0,Annihilation,2,Top Hit,202.732301
0.55,1,0.00015345096550961997,0.0029586947476099605,6.77084815768869e-05,0.015884030779255875,0.014282577670435833,0.8399770977797569,0.160022902220243,6.3,0,Tomb Raider,0,Flop,274.650803
0.55,1,0.004104733014595082,0.00025665808590443715,0.000701073468791147,0.0016576036151581812,0.0007794488966955758,0.9413902997709391,0.05860970022906085,6.6,1,Red Sparrow,0,Flop,151.572634
0.1,1,0.06006668317183681,0.0,0.0014414280253270306,0.0005704888218169958,0.00018443297837303767,0.9542358450404428,0.04576415495955726,7.0,1,Crazy Rich Asians,2,Top Hit,238.532921
0.125,1,0.0,4.599020766852436e-06,6.873858776085129e-05,0.0035904552820511257,0.0015605445164123394,0.9424678274034822,0.05753217259651779,7.3,1,Hereditary,2,Top Hit,79.336821
0.55,10,0.0,0.0012521135471701148,6.6846375543096956e-06,0.05106045464758128,0.06572236249862773,0.9502420068622489,0.04975799313775106,7.1,0,Aquaman,1,Neutral,1147.761807
0.1,1,0.23459504365160613,3.2640990086836572e-06,0.5404178961293447,0.0006081454164292094,0.00017894390163574486,0.9556403529692344,0.04435964703076556,6.9,0,A Simple Favor,2,Top Hit,97.643703
0.55,1,0.0,0.1220876291904981,0.00018892943204091968,0.0024776066440770008,0.001496322318586014,0.9487673495065466,0.05123265049345339,6.1,0,Rampage,0,Flop,428.028233
0.55,1,0.004857959875303154,3.1865874227254705e-07,0.011807461712522617,0.017113919089958213,0.01688824239762872,0.9212111089459863,0.07878889105401368,5.6,0,Pacific Rim: Uprising,2,Top Hit,290.930148
0.55,10,0.0002125611769271428,0.0040092523340934695,0.0,0.00375006264173327,0.0016851465583488858,0.9730958493795464,0.026904150620453572,6.7,1,The Equalizer 2,0,Flop,190.400157
0.55,1,0.0014955311823498622,0.00034584808414699113,4.055877309737907e-05,0.004173014849807089,0.0028367548578329127,0.9713292586198852,0.028670741380114776,7.1,0,Sicario: Day of the Soldado,1,Neutral,75.836683
0.55,1,0.03787047753340798,0.016165325460728436,0.0009713724472520866,0.0056641020674855465,0.0009918761664288068,0.9494372897087829,0.05056271029121708,7.0,0,Game Night,2,Top Hit,117.679066
0.125,1,3.051885915578625e-05,0.0021934831462338575,0.0,0.0005767297835135067,0.0012454715116917334,0.9349957632247912,0.0650042367752088,7.9,0,Call Me by Your movie_title,2,Top Hit,41.887595
0.125,1,0.0012953917165177062,0.0006573585357145053,0.00015185003047478514,0.0007229518859731787,0.00037106158744099245,0.5931062614725678,0.40689373852743216,4.5,0,Fifty Shades Freed,0,Flop,371.909449
0.05,10,0.0,0.017983704205315306,0.0,0.008663053101443193,0.011834449445603249,0.9737769757265213,0.0262230242734787,7.3,0,Christopher Robin,1,Neutral,197.744377
0.55,10,0.0,0.05092942678614727,0.0,0.012263489035549689,0.004648150181139532,0.9208171786459887,0.07918282135401133,6.6,0,12 Strong,0,Flop,67.450815
0.075,1,0.003868292168924991,0.0006633958270208042,2.0451807755447522e-05,0.008484461071365454,0.005735536282797234,0.935187503912853,0.06481249608714706,7.4,0,First Man,2,Top Hit,105.672146
0.075,1,0.0,0.0009293466908417839,0.00018737764118009778,0.0052883158925284,0.0052535953452629265,0.9308459214501511,0.06915407854984894,7.5,1,BlacKkKlansman,2,Top Hit,92.596573
0.55,1,0.0,0.11604958860553505,1.6291593510338116e-05,0.008452311741498629,0.0013909320452299924,0.9125978647686833,0.08740213523131672,5.8,0,Skyscraper,0,Flop,304.868961
0.1,1,0.0,0.009444528377051906,0.0,0.008166116177311441,0.002797782412998134,0.9591661058331898,0.04083389416681014,6.6,1,Tag,0,Flop,78.130625
